Start Date,End Date,Duration,Magnitude
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days],[mm]
1987-04-22 00:00:00,1987-05-17 00:00:00,26,90.827567271
1987-05-19 00:00:00,1987-05-23 00:00:00,5,0.248131343
1987-05-25 00:00:00,1987-05-25 00:00:00,1,0.585050873
1987-05-27 00:00:00,1987-05-27 00:00:00,1,0.014814045
1987-05-31 00:00:00,1987-06-03 00:00:00,4,1.705597631
1987-06-05 00:00:00,1987-06-20 00:00:00,16,20.673324136
1987-06-22 00:00:00,1987-06-24 00:00:00,3,11.653409241
1987-07-01 00:00:00,1987-07-03 00:00:00,3,0.7099291799999999
1987-07-06 00:00:00,1987-07-10 00:00:00,5,1.9669289389999998
1987-07-17 00:00:00,1987-07-18 00:00:00,2,0.020412792
1987-07-20 00:00:00,1987-07-22 00:00:00,3,0.33807290199999995
1987-07-27 00:00:00,1987-07-30 00:00:00,4,35.408985132
1987-08-02 00:00:00,1987-08-03 00:00:00,2,9.499949033
1987-08-05 00:00:00,1987-08-05 00:00:00,1,0.00358566
1987-08-10 00:00:00,1987-08-22 00:00:00,13,24.216809248
1987-08-24 00:00:00,1987-08-24 00:00:00,1,0.038635647
1987-08-28 00:00:00,1987-08-31 00:00:00,4,3.6399332440000003
1987-09-05 00:00:00,1987-09-11 00:00:00,7,0.870966595
1987-09-16 00:00:00,1987-09-16 00:00:00,1,0.015882337
1987-09-18 00:00:00,1987-09-19 00:00:00,2,1.23596261
1987-10-02 00:00:00,1987-10-05 00:00:00,4,10.635810899
1987-10-09 00:00:00,1987-10-19 00:00:00,11,95.851846335
1987-10-23 00:00:00,1987-10-26 00:00:00,4,24.276387088
1987-10-29 00:00:00,1987-10-31 00:00:00,3,0.525533258
1987-11-03 00:00:00,1987-11-12 00:00:00,10,51.154084119000004
1987-11-15 00:00:00,1987-11-15 00:00:00,1,0.047415961
1987-11-21 00:00:00,1987-11-21 00:00:00,1,0.000448562
1987-11-24 00:00:00,1987-11-27 00:00:00,4,4.345199056000001
1987-11-29 00:00:00,1987-12-03 00:00:00,5,126.20462320000001
1987-12-05 00:00:00,1987-12-05 00:00:00,1,0.012879697
1987-12-07 00:00:00,1987-12-08 00:00:00,2,0.75736309
1987-12-11 00:00:00,1987-12-14 00:00:00,4,40.038932378999995
1987-12-22 00:00:00,1988-01-01 00:00:00,11,22.886754854
1988-01-04 00:00:00,1988-01-08 00:00:00,5,23.113507774
1988-01-12 00:00:00,1988-01-22 00:00:00,11,62.074754148000004
1988-01-25 00:00:00,1988-01-26 00:00:00,2,2.1825806400000003
1988-01-28 00:00:00,1988-02-04 00:00:00,8,8.337071119
1988-02-06 00:00:00,1988-02-08 00:00:00,3,22.552985338
1988-02-13 00:00:00,1988-02-17 00:00:00,5,89.70822780600001
