Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1989-07-15 00:00:00,1989-07-15 00:00:00,1
1989-07-19 00:00:00,1989-07-20 00:00:00,2
1989-07-22 00:00:00,1989-07-22 00:00:00,1
1989-08-12 00:00:00,1989-08-13 00:00:00,2
1989-08-26 00:00:00,1989-08-26 00:00:00,1
1989-08-28 00:00:00,1989-08-30 00:00:00,3
1989-09-03 00:00:00,1989-09-03 00:00:00,1
1989-09-06 00:00:00,1989-09-06 00:00:00,1
1989-09-08 00:00:00,1989-09-09 00:00:00,2
1989-09-14 00:00:00,1989-09-16 00:00:00,3
1989-09-23 00:00:00,1989-09-23 00:00:00,1
1989-09-30 00:00:00,1989-10-06 00:00:00,7
1989-10-08 00:00:00,1989-10-08 00:00:00,1
1989-10-15 00:00:00,1989-10-15 00:00:00,1
1989-12-28 00:00:00,1989-12-29 00:00:00,2
1989-12-31 00:00:00,1990-01-02 00:00:00,3
1990-01-28 00:00:00,1990-01-28 00:00:00,1
1990-03-10 00:00:00,1990-03-10 00:00:00,1
1990-03-15 00:00:00,1990-03-15 00:00:00,1
1990-03-19 00:00:00,1990-03-20 00:00:00,2
1990-04-28 00:00:00,1990-05-01 00:00:00,4
1990-05-06 00:00:00,1990-05-07 00:00:00,2
1990-05-20 00:00:00,1990-05-20 00:00:00,1
1990-06-01 00:00:00,1990-06-04 00:00:00,4
1990-06-27 00:00:00,1990-06-28 00:00:00,2
1990-06-30 00:00:00,1990-06-30 00:00:00,1
1990-07-03 00:00:00,1990-07-05 00:00:00,3
1990-07-07 00:00:00,1990-07-07 00:00:00,1
1990-07-09 00:00:00,1990-07-10 00:00:00,2
1990-07-21 00:00:00,1990-07-22 00:00:00,2
1990-07-26 00:00:00,1990-07-26 00:00:00,1
1990-08-05 00:00:00,1990-08-08 00:00:00,4
1990-08-12 00:00:00,1990-08-12 00:00:00,1
1990-08-17 00:00:00,1990-08-21 00:00:00,5
1990-08-23 00:00:00,1990-08-29 00:00:00,7
1990-09-04 00:00:00,1990-09-06 00:00:00,3
1990-09-09 00:00:00,1990-09-09 00:00:00,1
1990-09-19 00:00:00,1990-09-19 00:00:00,1
1990-09-22 00:00:00,1990-09-22 00:00:00,1
1990-09-26 00:00:00,1990-09-26 00:00:00,1
1990-10-05 00:00:00,1990-10-05 00:00:00,1
1990-10-13 00:00:00,1990-10-14 00:00:00,2
1990-10-23 00:00:00,1990-10-27 00:00:00,5
1990-10-29 00:00:00,1990-11-02 00:00:00,5
1990-11-10 00:00:00,1990-11-11 00:00:00,2
1990-11-14 00:00:00,1990-11-17 00:00:00,4
1990-11-25 00:00:00,1990-11-25 00:00:00,1
1990-11-29 00:00:00,1990-11-30 00:00:00,2
1990-12-02 00:00:00,1990-12-02 00:00:00,1
1990-12-08 00:00:00,1990-12-09 00:00:00,2
1990-12-16 00:00:00,1990-12-20 00:00:00,5
