Date,Day,P[mm],E[mm],dS,CurrentlyWet_net,CurrentlyDry_net,CurrentlyWet,CurrentlyDry,Wet_net_streak,Dry_net_streak,Dry_streak,Wet_streak
1985-03-03,61,0.499803548,5.963788359,-5.4639848109999996,0,1,1,0,0,0,0,4
1985-03-04,62,0.443805918,4.668117868,-4.224311950000001,0,1,1,0,0,1,0,5
1985-03-05,63,0.280027527,4.518402989,-4.2383754620000005,0,1,1,0,0,2,0,6
1985-03-06,64,4.51888816,4.083616689,0.4352714710000001,1,0,1,0,0,0,0,7
1985-03-07,65,9.954889258,4.595831298,5.3590579599999995,1,0,1,0,1,0,0,8
1985-03-08,66,19.74950704,2.082646673,17.666860367,1,0,1,0,2,0,0,9
1985-03-09,67,11.01701435,2.396612027,8.620402323,1,0,1,0,3,0,0,10
1985-03-10,68,10.45296605,1.925195826,8.527770224000001,1,0,1,0,4,0,0,11
1985-03-11,69,16.50024737,2.818146386,13.682100984,1,0,1,0,5,0,0,12
1985-03-12,70,0.442050389,2.926031924,-2.4839815350000003,0,1,1,0,0,0,0,13
1985-03-13,71,1.746431091,2.038527915,-0.2920968239999999,0,1,1,0,0,1,0,14
1985-03-14,72,3.837769627,3.878983858,-0.04121423099999966,0,1,1,0,0,2,0,15
1985-03-15,73,0.754542013,3.158903278,-2.404361265,0,1,1,0,0,3,0,16
1985-03-16,74,0.0,3.412965461,-3.412965461,0,1,0,1,0,4,0,0
1985-03-17,75,0.001877862,3.815526318,-3.8136484559999997,0,1,1,0,0,5,0,0
1985-03-18,76,0.003530657,4.817727967,-4.81419731,0,1,1,0,0,6,0,1
1985-03-19,77,0.0,3.515868238,-3.515868238,0,1,0,1,0,7,0,0
1985-03-20,78,0.303109944,2.782822027,-2.479712083,0,1,1,0,0,8,0,0
1985-03-21,79,2.509635888,4.124777032,-1.6151411439999999,0,1,1,0,0,9,0,1
1985-03-22,80,4.932335192,3.45108994,1.481245252,1,0,1,0,0,0,0,2
1985-03-23,81,0.121815521,3.737675135,-3.615859614,0,1,1,0,0,0,0,3
1985-03-24,82,0.703041545,3.139761976,-2.436720431,0,1,1,0,0,1,0,4
1985-03-25,83,0.358506789,3.983217762,-3.624710973,0,1,1,0,0,2,0,5
1985-03-26,84,1.744315395,3.589282642,-1.844967247,0,1,1,0,0,3,0,6
1985-03-27,85,1.02457075,3.598381305,-2.573810555,0,1,1,0,0,4,0,7
1985-03-28,86,0.942255752,3.48758201,-2.5453262580000002,0,1,1,0,0,5,0,8
1985-03-29,87,0.516817503,2.209239089,-1.692421586,0,1,1,0,0,6,0,9
1985-03-30,88,0.153827708,3.211853311,-3.058025603,0,1,1,0,0,7,0,10
1985-03-31,89,0.226352984,1.48490458,-1.258551596,0,1,1,0,0,8,0,11
1985-04-01,90,7.1750667,2.835907329,4.339159371000001,1,0,1,0,0,0,0,12
1985-04-02,91,0.497929683,4.261334846,-3.7634051629999994,0,1,1,0,0,0,0,13
1985-04-03,92,0.281534873,3.570728785,-3.289193912,0,1,1,0,0,1,0,14
1985-04-04,93,6.243720718,3.549129417,2.6945913009999996,1,0,1,0,0,0,0,15
1985-04-05,94,0.00022139,3.389025963,-3.388804573,0,1,1,0,0,0,0,16
1985-04-06,95,0.128992525,3.473964198,-3.344971673,0,1,1,0,0,1,0,17
1985-04-07,96,3.333481478,4.249090595,-0.9156091170000002,0,1,1,0,0,2,0,18
1985-04-08,97,1.72106705,3.312491957,-1.5914249070000002,0,1,1,0,0,3,0,19
1985-04-09,98,0.093150649,4.60533566,-4.512185011,0,1,1,0,0,4,0,20
1985-04-10,99,0.00631964,3.70114517,-3.69482553,0,1,1,0,0,5,0,21
1985-04-11,100,0.585559364,4.003731267,-3.418171903,0,1,1,0,0,6,0,22
1985-04-12,101,0.0020525,3.635230315,-3.633177815,0,1,1,0,0,7,0,23
1985-04-13,102,0.001168462,3.593725694,-3.5925572320000003,0,1,1,0,0,8,0,24
1985-04-14,103,0.002742719,2.448176363,-2.445433644,0,1,1,0,0,9,0,25
1985-04-15,104,0.0,1.548664705,-1.548664705,0,1,0,1,0,10,0,0
1985-04-16,105,0.052580584,0.207456913,-0.15487632899999998,0,1,1,0,0,11,0,0
1985-04-17,106,3e-05,0.58006094,-0.58003094,0,1,1,0,0,12,0,1
1985-04-18,107,0.602460631,0.529256967,0.073203664,1,0,1,0,0,0,0,2
1985-04-19,108,0.0,0.794174699,-0.794174699,0,1,0,1,0,0,0,0
1985-04-20,109,0.0,0.403844446,-0.403844446,0,1,0,1,0,1,1,0
1985-04-21,110,0.019183702,0.455328712,-0.43614501,0,1,1,0,0,2,0,0
1985-04-22,111,14.72987668,0.897561494,13.832315186,1,0,1,0,0,0,0,1
1985-04-23,112,8.903352771,1.980170975,6.923181796,1,0,1,0,1,0,0,2
1985-04-24,113,0.040234675,2.767733464,-2.727498789,0,1,1,0,0,0,0,3
1985-04-25,114,0.023886824,2.494660062,-2.470773238,0,1,1,0,0,1,0,4
1985-04-26,115,0.003162115,2.814071375,-2.8109092600000003,0,1,1,0,0,2,0,5
1985-04-27,116,0.460518185,3.030896304,-2.570378119,0,1,1,0,0,3,0,6
1985-04-28,117,0.020656322,3.339488801,-3.318832479,0,1,1,0,0,4,0,7
1985-04-29,118,0.005276699,3.134356537,-3.129079838,0,1,1,0,0,5,0,8
1985-04-30,119,0.253756167,2.244739285,-1.9909831180000002,0,1,1,0,0,6,0,9
1985-05-01,120,0.08236779,3.057889826,-2.9755220359999996,0,1,1,0,0,7,0,10
1985-05-02,121,0.020060435,2.544715231,-2.524654796,0,1,1,0,0,8,0,11
1985-05-03,122,0.349446202,2.573861858,-2.2244156559999997,0,1,1,0,0,9,0,12
1985-05-04,123,2.167037638,2.446853058,-0.2798154199999998,0,1,1,0,0,10,0,13
1985-05-05,124,2.466932636,1.90376332,0.5631693160000002,1,0,1,0,0,0,0,14
1985-05-06,125,0.433702742,2.744959366,-2.311256624,0,1,1,0,0,0,0,15
1985-05-07,126,0.266071912,2.354895827,-2.088823915,0,1,1,0,0,1,0,16
1985-05-08,127,1.417172913,2.297518476,-0.8803455630000001,0,1,1,0,0,2,0,17
1985-05-09,128,3.36127318,1.104054671,2.257218509,1,0,1,0,0,0,0,18
1985-05-10,129,0.00457835,1.819504817,-1.814926467,0,1,1,0,0,0,0,19
1985-05-11,130,0.000293874,1.313569467,-1.313275593,0,1,1,0,0,1,0,20
1985-05-12,131,0.415915671,2.134742012,-1.7188263409999998,0,1,1,0,0,2,0,21
1985-05-13,132,0.694906655,2.53623431,-1.8413276550000002,0,1,1,0,0,3,0,22
1985-05-14,133,0.876430102,0.537357408,0.33907269400000006,1,0,1,0,0,0,0,23
1985-05-15,134,0.059703659,1.976858259,-1.9171546,0,1,1,0,0,0,0,24
1985-05-16,135,0.038564101,1.835995411,-1.7974313100000001,0,1,1,0,0,1,0,25
1985-05-17,136,6.988585276,2.494617143,4.493968133,1,0,1,0,0,0,0,26
1985-05-18,137,0.08607377,2.585896722,-2.499822952,0,1,1,0,0,0,0,27
1985-05-19,138,0.022383455,1.496369273,-1.473985818,0,1,1,0,0,1,0,28
1985-05-20,139,6.062542006,1.12309489,4.939447116,1,0,1,0,0,0,0,29
1985-05-21,140,0.019390667,1.329518798,-1.3101281310000001,0,1,1,0,0,0,0,30
1985-05-22,141,0.006659786,1.814162688,-1.807502902,0,1,1,0,0,1,0,31
1985-05-23,142,0.049734748,1.186065999,-1.1363312509999999,0,1,1,0,0,2,0,32
1985-05-24,143,0.062945013,2.338947431,-2.276002418,0,1,1,0,0,3,0,33
1985-05-25,144,0.008024645,1.604853333,-1.596828688,0,1,1,0,0,4,0,34
1985-05-26,145,0.002932973,1.309673276,-1.306740303,0,1,1,0,0,5,0,35
1985-05-27,146,4.973736157,0.96159332,4.012142837000001,1,0,1,0,0,0,0,36
1985-05-28,147,5.330252011,1.468786958,3.861465053,1,0,1,0,1,0,0,37
1985-05-29,148,1.706282042,1.556817057,0.14946498500000005,1,0,1,0,2,0,0,38
1985-05-30,149,0.651580263,1.868019891,-1.216439628,0,1,1,0,0,0,0,39
