Start Date,End Date,Duration
[yyyy-mm-dd hh:mm:ss],[yyyy-mm-dd hh:mm:ss],[days]
1987-10-27 00:00:00,1987-10-28 00:00:00,2
1987-11-01 00:00:00,1987-11-02 00:00:00,2
1987-11-13 00:00:00,1987-11-14 00:00:00,2
1987-11-16 00:00:00,1987-11-20 00:00:00,5
1987-11-22 00:00:00,1987-11-23 00:00:00,2
1987-11-28 00:00:00,1987-11-28 00:00:00,1
1987-12-04 00:00:00,1987-12-04 00:00:00,1
1987-12-06 00:00:00,1987-12-06 00:00:00,1
1987-12-09 00:00:00,1987-12-10 00:00:00,2
1987-12-15 00:00:00,1987-12-21 00:00:00,7
1988-01-02 00:00:00,1988-01-03 00:00:00,2
1988-01-09 00:00:00,1988-01-11 00:00:00,3
1988-01-23 00:00:00,1988-01-24 00:00:00,2
1988-01-27 00:00:00,1988-01-27 00:00:00,1
1988-02-05 00:00:00,1988-02-05 00:00:00,1
1988-02-09 00:00:00,1988-02-12 00:00:00,4
1988-02-18 00:00:00,1988-02-25 00:00:00,8
1988-03-13 00:00:00,1988-03-16 00:00:00,4
1988-03-18 00:00:00,1988-03-18 00:00:00,1
1988-04-15 00:00:00,1988-04-16 00:00:00,2
1988-04-27 00:00:00,1988-04-27 00:00:00,1
1988-05-04 00:00:00,1988-05-04 00:00:00,1
1988-05-06 00:00:00,1988-05-07 00:00:00,2
1988-05-09 00:00:00,1988-05-10 00:00:00,2
1988-05-24 00:00:00,1988-05-27 00:00:00,4
1988-05-29 00:00:00,1988-05-30 00:00:00,2
1988-06-07 00:00:00,1988-06-13 00:00:00,7
1988-06-19 00:00:00,1988-06-23 00:00:00,5
1988-06-29 00:00:00,1988-06-30 00:00:00,2
1988-07-09 00:00:00,1988-07-10 00:00:00,2
1988-07-15 00:00:00,1988-07-17 00:00:00,3
1988-07-19 00:00:00,1988-07-19 00:00:00,1
1988-07-23 00:00:00,1988-08-01 00:00:00,10
1988-08-05 00:00:00,1988-08-05 00:00:00,1
1988-08-07 00:00:00,1988-08-11 00:00:00,5
1988-08-18 00:00:00,1988-08-18 00:00:00,1
1988-08-30 00:00:00,1988-08-30 00:00:00,1
1988-09-17 00:00:00,1988-09-26 00:00:00,10
1988-09-29 00:00:00,1988-10-01 00:00:00,3
1988-10-03 00:00:00,1988-10-05 00:00:00,3
1988-10-08 00:00:00,1988-10-15 00:00:00,8
1988-10-18 00:00:00,1988-10-22 00:00:00,5
1988-10-28 00:00:00,1988-10-30 00:00:00,3
1988-11-01 00:00:00,1988-11-04 00:00:00,4
1988-11-09 00:00:00,1988-11-09 00:00:00,1
1988-11-11 00:00:00,1988-11-11 00:00:00,1
