day1check_E,day1check_sum_E,day1check_P,day1check_sum_P,day2check_E,day2check_sum_E,day2check_P,day2check_sum_P
0.0046232358,0.0046232358,0.008354268199999779,0.008354268199999779,0.005191001600000001,0.005191001600000001,0.0,0.0
0.023515635000000003,0.0092464716,0.03424206499999888,0.016708536399999557,0.026403520000000003,0.010382003200000002,0.021865414999998875,0.0
0.037823436,0.03276210660000001,0.04322678399999754,0.050950601399998435,0.043226784000000004,0.0367855232,0.03849885449999877,0.021865414999998875
0.027947908800000004,0.07058554260000001,0.025452559799999545,0.09417738539999598,0.0314413974,0.08001230720000001,0.019463722199998184,0.060364269499997646
0.0030249128,0.09853345140000001,0.0021066356999998033,0.11962994519999554,0.0033490106,0.11145370460000001,0.0011343422999999509,0.07982799169999583
0.00054093,0.10155836420000001,0.0012242099999999654,0.12173658089999534,0.00060736,0.1148027152,6.642999999998273e-05,0.08096233399999578
0.031415960400000005,0.10209929420000001,0.062831920799998,0.1229607908999953,0.03472290360000001,0.1154100752,0.0011023143999989975,0.08102876399999576
0.012659893800000002,0.13351525460000002,0.0179903753999998,0.18579271169999328,0.013992514200000004,0.1501329788,0.0,0.08213107839999476
0.0213374997,0.1461751484,0.025829604899998637,0.2037830870999931,0.0243322365,0.164125493,0.01909144709999966,0.08213107839999476
0.0405241671,0.1675126481,0.026305161099998704,0.22961269199999174,0.0462117695,0.1884577295,0.09668924079999934,0.10122252549999441
0.0405065541,0.2080368152,0.012791543399998061,0.25591785309999043,0.0454810432,0.234669499,0.11938773839999806,0.19791176629999374
0.039778580800000005,0.2485433693,0.024151281199997415,0.2687093964999885,0.04475090340000001,0.2801505422,0.063929862,0.3172995046999918
0.040471242600000006,0.2883219501,0.031240959199997417,0.2928606776999859,0.0440213516,0.3249014456,0.012070370599998709,0.3812293666999918
0.034621916,0.3287931927,0.0278211825,0.32410163689998334,0.037094909999999995,0.3689227972,0.0,0.3932997372999905
0.004335856000000001,0.36341510870000004,0.0034067439999997183,0.3519228193999833,0.00464556,0.40601770719999997,0.0,0.3932997372999905
0.00010431000000000001,0.36775096470000007,0.00015371999999999334,0.35532956339998306,0.00011895,0.41066326719999996,0.00010247999999999834,0.3932997372999905
0.0331514337,0.36785527470000007,0.02733539269999894,0.35548328339998303,0.0372226624,0.41078221719999997,0.07328211659999946,0.39340221729999053
0.0405065541,0.4010067084000001,0.019187315099998707,0.382818676099982,0.046191684499999996,0.44800487959999996,0.1080174775999987,0.46668433389999
0.0404889126,0.44151326250000006,0.024151281199997415,0.4020059911999807,0.04475090340000001,0.49419656409999996,0.060378203,0.5747018114999887
0.0321286504,0.48200217510000004,0.02237531009999791,0.42615727239997814,0.034997279900000004,0.5389474675,0.017211776999999998,0.6350800144999886
0.012397868000000001,0.5141308255,0.00885562,0.4485325824999761,0.013283429999999999,0.5739447474,0.0011069525,0.6522917914999886
0.011926128200000002,0.5265286935,0.02179602739999981,0.4573882024999761,0.013982357200000002,0.5872281774,0.0,0.6533987439999887
0.033522004800000005,0.5384548217,0.05837452559999946,0.4791842298999759,0.038723695200000005,0.6012105346,0.0,0.6533987439999887
0.0412708686,0.5719768265,0.0690219698999987,0.5375587554999753,0.046963402200000004,0.6399342297999999,0.0,0.6533987439999887
0.041253010400000005,0.6132476951,0.067569586,0.606580725399974,0.04694308080000001,0.686897632,0.0,0.6533987439999887
0.0412351174,0.6545007055,0.07536073179999933,0.674150311399974,0.0469227198,0.7338407128,0.00568760239999806,0.6533987439999887
0.0405065541,0.6957358228999999,0.063957717,0.7495110431999733,0.0454810432,0.7807634325999999,0.024161804199997413,0.6590863463999868
0.0404889126,0.736242377,0.053985216799999354,0.8134687601999733,0.04475090340000001,0.8262444757999999,0.022020285799999356,0.6832481505999841
0.040471242600000006,0.7767312895999999,0.05112156959999871,0.8674539769999726,0.045441395200000005,0.8709953791999999,0.010650327000000001,0.7052684363999835
0.04116324960000001,0.8172025321999999,0.05464776239999871,0.9185755465999713,0.044002094400000004,0.9164367743999999,0.0028388447999974182,0.7159187633999835
0.039663233400000004,0.8583657817999999,0.05636354219999937,0.97322330899997,0.041750772000000005,0.9604388688,0.0,0.7187576081999809
0.013845630400000001,0.8980290151999999,0.015081847399999775,1.0295868511999693,0.014340117200000002,1.0021896408,0.0,0.7187576081999809
0.00041064000000000004,0.9118746455999999,0.0007150799999999935,1.0446686985999691,0.00047436,1.016529758,0.0,0.7187576081999809
0.020543803000000003,0.9122852855999999,0.03329512899999871,1.0453837785999691,0.023377431,1.0170041179999998,0.0,0.7187576081999809
0.039544214400000006,0.9328290885999999,0.05181655679999938,1.0786789075999679,0.044316792,1.0403815489999997,0.00477257759999876,0.7187576081999809
0.0412351174,0.9723733029999999,0.049055570699997414,1.1304954643999672,0.0462117695,1.0846983409999997,0.04763367009999871,0.7235301857999796
0.0405065541,1.0136084204,0.038374630199997414,1.1795510350999645,0.046191684499999996,1.1309101104999997,0.0604045105,0.7711638558999784
0.0404889126,1.0541149745,0.039068249,1.217925665299962,0.04475090340000001,1.1771017949999996,0.04404057159999871,0.8315683663999783
0.040471242600000006,1.0946038871000001,0.04047124259999871,1.256993914299962,0.0447313734,1.2218526983999995,0.014910457799999355,0.8756089379999771
0.0404535384,1.1350751297000001,0.03690498239999871,1.2974651568999607,0.043292383200000006,1.2665840717999997,0.0007097111999993541,0.8905193957999764
0.038398948,1.1755286681000001,0.021256560499999376,1.3343701392999594,0.04114173,1.3098764549999997,0.0,0.8912291069999758
